23.01.2022 22:59:21,не провожу,до 30 минут,С 25 лет до 38 лет
23.01.2022 22:59:29,до 30 минут,до 30 минут,С 14 лет до 18 лет
23.01.2022 22:59:47,не провожу,до 1 часа,С 25 лет до 38 лет
23.01.2022 23:00:21,до 30 минут,до 30 минут,С 25 лет до 38 лет
23.01.2022 23:00:33,до 30 минут,до 1 часа,С 18 лет до 25 лет
23.01.2022 23:03:47,не провожу,до 30 минут,С 14 лет до 18 лет
23.01.2022 23:03:56,не провожу,до 2 часов,С 14 лет до 18 лет
23.01.2022 23:04:20,до 3 часов,до 30 минут,С 14 лет до 18 лет
23.01.2022 23:04:44,до 3 часов,до 30 минут,С 14 лет до 18 лет
23.01.2022 23:05:13,до 1 часа,до 30 минут,С 14 лет до 18 лет
23.01.2022 23:07:40,не провожу,не провожу,С 25 лет до 38 лет
23.01.2022 23:09:29,не провожу,до 3 часов,Больше 38 лет
23.01.2022 23:15:14,не провожу,до 1 часа,Больше 38 лет
23.01.2022 23:15:58,до 30 минут,не провожу,Больше 38 лет
23.01.2022 23:19:11,не провожу,не провожу,Больше 38 лет
23.01.2022 23:21:09,не провожу,до 30 минут,Больше 38 лет
23.01.2022 23:21:23,не провожу,до 30 минут,Больше 38 лет
23.01.2022 23:28:21,не провожу,до 1 часа,С 25 лет до 38 лет
23.01.2022 23:29:40,не провожу,до 30 минут,С 25 лет до 38 лет
23.01.2022 23:30:08,не провожу,до 30 минут,Больше 38 лет
23.01.2022 23:31:32,не провожу,до 30 минут,Больше 38 лет
23.01.2022 23:35:18,не провожу,не провожу,Больше 38 лет
23.01.2022 23:37:07,до 4 часов,до 2 часов,Больше 38 лет
23.01.2022 23:37:28,больше 5 часов,до 1 часа,С 18 лет до 25 лет
23.01.2022 23:37:43,не провожу,до 1 часа,Больше 38 лет
23.01.2022 23:39:16,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:39:26,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:39:41,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:39:48,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:40:22,до 30 минут,не провожу,Больше 38 лет
23.01.2022 23:40:39,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:40:52,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:40:58,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:41:08,до 1 часа,до 1 часа,С 14 лет до 18 лет
23.01.2022 23:41:22,до 1 часа,до 1 часа,С 18 лет до 25 лет
23.01.2022 23:45:52,до 1 часа,не провожу,Больше 38 лет
24.01.2022 0:05:36,до 30 минут,не провожу,Больше 38 лет
24.01.2022 0:25:08,не провожу,не провожу,С 25 лет до 38 лет
24.01.2022 0:28:16,до 1 часа,до 1 часа,Больше 38 лет
24.01.2022 0:28:37,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 0:43:33,не провожу,до 2 часов,Больше 38 лет
24.01.2022 1:52:51,не провожу,не провожу,Больше 38 лет
24.01.2022 5:11:18,не провожу,до 30 минут,Больше 38 лет
24.01.2022 6:29:07,не провожу,не провожу,Больше 38 лет
24.01.2022 6:39:38,до 2 часов,до 1 часа,Больше 38 лет
24.01.2022 6:42:44,не провожу,не провожу,Больше 38 лет
24.01.2022 6:43:53,не провожу,до 30 минут,Больше 38 лет
24.01.2022 6:44:05,не провожу,не провожу,Больше 38 лет
24.01.2022 6:51:31,не провожу,до 5 часов,До 14 лет
24.01.2022 6:51:48,не провожу,до 5 часов,С 18 лет до 25 лет
24.01.2022 6:56:07,не провожу,не провожу,Больше 38 лет
24.01.2022 7:02:02,не провожу,до 1 часа,Больше 38 лет
24.01.2022 7:05:51,до 1 часа,до 1 часа,Больше 38 лет
24.01.2022 7:17:14,до 2 часов,до 2 часов,Больше 38 лет
24.01.2022 7:18:01,не провожу,не провожу,Больше 38 лет
24.01.2022 7:21:28,не провожу,до 1 часа,Больше 38 лет
24.01.2022 7:29:11,до 30 минут,до 1 часа,С 25 лет до 38 лет
24.01.2022 7:31:15,не провожу,не провожу,Больше 38 лет
24.01.2022 7:47:50,не провожу,до 30 минут,Больше 38 лет
24.01.2022 7:53:20,не провожу,не провожу,Больше 38 лет
24.01.2022 7:55:43,не провожу,не провожу,Больше 38 лет
24.01.2022 7:57:31,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 8:01:33,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 8:20:02,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 8:20:12,не провожу,до 2 часов,С 25 лет до 38 лет
24.01.2022 8:25:28,до 2 часов,до 30 минут,С 25 лет до 38 лет
24.01.2022 8:25:47,не провожу,до 1 часа,Больше 38 лет
24.01.2022 8:27:07,до 1 часа,до 2 часов,С 25 лет до 38 лет
24.01.2022 8:29:37,не провожу,до 1 часа,Больше 38 лет
24.01.2022 8:29:45,не провожу,до 1 часа,Больше 38 лет
24.01.2022 8:41:33,до 1 часа,до 3 часов,С 14 лет до 18 лет
24.01.2022 8:41:34,до 1 часа,до 1 часа,До 14 лет
24.01.2022 8:41:57,не провожу,не провожу,С 14 лет до 18 лет
24.01.2022 8:42:10,до 30 минут,не провожу,До 14 лет
24.01.2022 8:42:16,не провожу,до 1 часа,С 14 лет до 18 лет
24.01.2022 8:46:13,не провожу,до 30 минут,До 14 лет
24.01.2022 8:46:31,до 1 часа,до 1 часа,До 14 лет
24.01.2022 8:48:59,не провожу,до 1 часа,С 25 лет до 38 лет
24.01.2022 8:51:41,не провожу,до 3 часов,С 14 лет до 18 лет
24.01.2022 8:52:45,не провожу,до 1 часа,До 14 лет
24.01.2022 8:55:10,не провожу,до 4 часов,С 14 лет до 18 лет
24.01.2022 8:56:51,не провожу,до 2 часов,С 14 лет до 18 лет
24.01.2022 8:57:43,не провожу,больше 5 часов,С 14 лет до 18 лет
24.01.2022 8:58:57,до 30 минут,до 2 часов,С 14 лет до 18 лет
24.01.2022 9:05:55,не провожу,до 30 минут,Больше 38 лет
24.01.2022 9:07:01,не провожу,до 2 часов,До 14 лет
24.01.2022 9:09:29,не провожу,до 2 часов,До 14 лет
24.01.2022 9:10:37,не провожу,до 1 часа,До 14 лет
24.01.2022 9:10:53,до 2 часов,до 5 часов,До 14 лет
24.01.2022 9:12:35,не провожу,не провожу,С 14 лет до 18 лет
24.01.2022 9:13:24,не провожу,до 2 часов,С 14 лет до 18 лет
24.01.2022 9:13:37,не провожу,до 2 часов,С 14 лет до 18 лет
24.01.2022 9:13:47,больше 5 часов,до 1 часа,С 14 лет до 18 лет
24.01.2022 9:14:04,не провожу,до 1 часа,С 14 лет до 18 лет
24.01.2022 9:14:32,не провожу,до 2 часов,С 14 лет до 18 лет
24.01.2022 9:16:05,до 30 минут,до 1 часа,С 14 лет до 18 лет
24.01.2022 9:16:09,не провожу,до 30 минут,С 14 лет до 18 лет
24.01.2022 9:16:15,не провожу,до 30 минут,С 14 лет до 18 лет
24.01.2022 9:17:58,не провожу,до 1 часа,С 14 лет до 18 лет
24.01.2022 9:20:11,до 2 часов,не провожу,С 14 лет до 18 лет
24.01.2022 9:25:24,не провожу,до 2 часов,Больше 38 лет
24.01.2022 9:26:08,до 1 часа,до 1 часа,Больше 38 лет
24.01.2022 9:26:42,не провожу,до 30 минут,С 25 лет до 38 лет
24.01.2022 9:34:59,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 9:42:46,не провожу,не провожу,Больше 38 лет
24.01.2022 9:42:59,не провожу,до 30 минут,С 18 лет до 25 лет
24.01.2022 9:57:07,до 30 минут,до 2 часов,Больше 38 лет
24.01.2022 10:02:44,до 30 минут,до 2 часов,Больше 38 лет
24.01.2022 10:03:20,до 2 часов,до 1 часа,Больше 38 лет
24.01.2022 10:03:49,до 2 часов,до 1 часа,Больше 38 лет
24.01.2022 10:04:54,больше 5 часов,больше 5 часов,Больше 38 лет
24.01.2022 10:13:57,не провожу,до 30 минут,С 25 лет до 38 лет
24.01.2022 10:14:13,не провожу,не провожу,Больше 38 лет
24.01.2022 10:14:59,до 30 минут,до 30 минут,Больше 38 лет
24.01.2022 10:18:09,до 30 минут,не провожу,Больше 38 лет
24.01.2022 10:28:47,не провожу,до 30 минут,Больше 38 лет
24.01.2022 10:28:56,не провожу,до 30 минут,С 18 лет до 25 лет
24.01.2022 10:29:52,до 30 минут,до 1 часа,Больше 38 лет
24.01.2022 10:39:21,больше 5 часов,до 2 часов,До 14 лет
24.01.2022 10:41:01,не провожу,до 30 минут,Больше 38 лет
24.01.2022 10:47:17,до 30 минут,до 30 минут,С 18 лет до 25 лет
